Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,TConexiones
2017,1,La Rioja,16,0,15,2,28,61
2017,1,Mendoza,153,13,3,27,2,198
2017,1,Misiones,57,40,101,5,8,211
2017,1,Neuquén,52,48,1,12,3,116
2017,1,Río Negro,67,29,954,3,1,1054
2017,1,Salta,80,27,114,158,679,1058
2017,1,San Juan,49,451,772,1,907,2180
2017,1,San Luis,11,1,354,26,375,767
2017,1,Santa Cruz,16,3,1,5,2,27
2017,1,Santa Fe,327,226,3,5,1,562
2017,1,Santiago Del Estero,30,4,19,911,29,993
2017,1,Tierra Del Fuego,23,7,665,1,2,698
2017,1,Tucumán,147,5,116,14,45,327
2016,4,Buenos Aires,2,1,119,21,24,167
2016,4,Capital Federal,435,915,38,3,11,1402
2016,4,Catamarca,27,250,14,1,34,326
